,Campus,Identificador,Codigo_Curso,Curso,Ano_Admissao,Sem_Admissao,Codigo_Forma_Ingresso,Forma_Ingresso,Ano_Conclusao,Sem_Conclusao,Codigo_Situacao_Aluno,Situacao_Aluno,Sexo,Idade,CRA,ENEM,Modalidade,PCD,10) Voce se considera:,23) A renda bruta mensal (sem descontos) de seu grupo familiar:,Escola,Reingressante,Bolsista - Moradia,Bolsista - Alimentacao,Iniciacao Científica,Extensão
214,CRP,30004155,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2014.0,1,A,Estudante em abandono de curso                    ,F,25.0,"18,6","530,48",1,N,,,publica,N,N,N,N,N
215,CRP,30004170,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2018.0,1,C,Conclusao                                      ,F,31.0,75,"627,74",3,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
216,CRP,30004183,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2014.0,1,A,Estudante em abandono de curso                    ,F,50.0,"2,2","494,8",1,N,,,publica,N,N,N,N,N
226,CRP,30004216,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2014.0,2,A,Estudante em abandono de curso                    ,F,28.0,"46,3","575,84",3,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,S,N,N,N,N
228,CRP,30004221,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,2,C,Conclusao                                      ,F,29.0,"64,7","589,54",9,N,b. Preto(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
229,CRP,30004223,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2014.0,1,A,Estudante em abandono de curso                    ,F,36.0,"53,3","564,9",7,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,S,N,N,N,N
232,CRP,30004232,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,C,Conclusao                                      ,F,28.0,"72,5",595,9,N,c. Pardo(a).,b. Entre 1 e 3 Salarios Minimos,publica,S,N,N,N,N
243,CRP,30004266,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2020.0,2,C,Conclusao                                      ,F,28.0,"59,6","548,72",9,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
244,CRP,30004267,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,0,M,Mudanca de Curso                                  ,F,35.0,"50,4","575,38",9,N,a. Branco(a).,a. ate 1 Salario Minimo,publica,S,N,N,N,N
250,CRP,30004278,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2014.0,1,A,Estudante em abandono de curso                    ,F,26.0,"34,4","551,04",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
338,CRP,30004605,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2019.0,1,C,Conclusao                                      ,F,25.0,"78,8","637,86",9,N,c. Pardo(a).,a. ate 1 Salario Minimo,publica,N,N,N,N,N
339,CRP,30004617,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,A,Estudante em abandono de curso                    ,F,43.0,"7,9","574,56",9,N,,,Privada,N,N,N,N,N
340,CRP,30004632,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2019.0,2,D,Desligamento                                      ,F,26.0,"51,5","540,92",3,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
341,CRP,30004640,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,1,D,Desligamento                                      ,F,25.0,"13,3","483,98",1,N,,,publica,N,N,N,N,N
342,CRP,30004654,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,1,A,Estudante em abandono de curso                    ,F,30.0,"3,1","427,7",1,N,,,publica,N,N,N,N,N
343,CRP,30004658,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,1,D,Desligamento                                      ,F,24.0,"17,6","551,64",1,N,,,publica,N,N,N,N,N
487,CRP,30005003,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,2,C,Conclusao                                      ,F,28.0,"83,6","672,62",9,N,a. Branco(a).,d. Entre 5 e 7 Salarios Minimos,publica,S,N,N,N,N
