Campus;Identificador;Ano;Semestre;Cd_Disciplina;Codigo_Conceito;Nota;Faltas_Teorica;Faltas_Pratica
CRP;30003576;2014;1;ADE 101;;50;2;0
CRP;30003576;2014;1;ADE 191;;44;0;0
CRP;30003576;2014;1;CIC 100;;60;4;0
CRP;30003576;2014;1;CRP 091;S;0;2;0
CRP;30003576;2014;1;CRP 191;;65;0;0
CRP;30003576;2014;1;CRP 290;;89;0;0
CRP;30003576;2014;2;ADE 310;;46;12;0
CRP;30003576;2014;2;CIC 343;;56;6;0
CRP;30003576;2014;2;CRP 295;;69;0;0
CRP;30003576;2014;2;CRP 297;;9;10;0
CRP;30003576;2014;2;ENP 351;;52;12;0
CRP;30003576;2015;1;ADE 101;;59;0;0
CRP;30003576;2015;1;ADE 150;;60;8;0
CRP;30003576;2015;1;ADE 310;;61;8;0
CRP;30003576;2015;1;CRP 192;;53;0;0
CRP;30003576;2015;1;CRP 296;;73;0;0
CRP;30003576;2015;2;ADE 192;;61;8;0
CRP;30003576;2015;2;ADE 311;;60;6;0
CRP;30003576;2015;2;CIC 343;L;33;20;0
CRP;30003576;2015;2;CRP 181;;60;0;0
CRP;30003576;2015;2;CRP 297;;97;14;0
CRP;30003576;2016;0;CRP 392;;79;0;0
CRP;30003576;2016;1;ADE 101;;68;2;0
CRP;30003576;2016;1;ADE 194;;60;0;0
CRP;30003576;2016;1;ADE 345;;74;6;0
CRP;30003576;2016;1;ADE 351;;78;4;0
CRP;30003576;2016;2;ADE 102;;62;2;0
CRP;30003576;2016;2;ADE 195;;65;0;0
CRP;30003576;2016;2;CIC 343;;60;12;0
CRP;30003576;2016;2;CRP 391;;88;5;0
CRP;30003576;2017;0;ADE 315;;69;0;0
CRP;30003577;2014;1;ADE 101;;35;2;0
CRP;30003577;2014;1;ADE 191;;48;6;0
CRP;30003577;2014;1;CIC 100;;48;4;0
CRP;30003577;2014;1;CRP 091;N;0;12;0
CRP;30003577;2014;1;CRP 191;;21;0;0
CRP;30003577;2014;1;CRP 290;;69;2;0
CRP;30003577;2014;2;ADE 405;;63;4;0
CRP;30003577;2014;2;CIC 100;;69;8;0
CRP;30003577;2014;2;CRP 181;;78;0;0
CRP;30003577;2014;2;CRP 191;;7;0;0
CRP;30003577;2014;2;CRP 295;;61;0;0
CRP;30003577;2014;2;CRP 297;;60;6;0
CRP;30003577;2015;1;ADE 101;;46;10;0
CRP;30003577;2015;1;ADE 150;;55;12;0
CRP;30003577;2015;1;ADE 195;L;16;20;0
CRP;30003577;2015;1;ADE 310;;60;10;0
CRP;30003577;2015;1;CRP 191;;65;6;0
CRP;30003577;2015;1;CRP 296;;60;12;0
CRP;30003577;2015;1;CRP 390;;76;4;0
CRP;30003577;2015;1;CRP 394;;70;4;0
CRP;30003577;2015;2;ADE 192;;62;4;0
CRP;30003577;2015;2;ADE 311;;43;8;0
CRP;30003577;2015;2;CIC 343;;55;12;0
CRP;30003577;2015;2;CRP 192;L;15;30;0
CRP;30003577;2015;2;CRP 396;L;52;18;0
CRP;30003577;2015;2;ENP 351;;60;6;0
CRP;30003577;2016;1;ADE 101;;65;12;0
CRP;30003577;2016;1;ADE 150;;78;12;0
CRP;30003577;2016;1;ADE 194;;46;4;0
CRP;30003577;2016;1;ADE 351;;45;6;0
CRP;30003577;2016;1;CRP 192;L;0;48;0
CRP;30003577;2016;1;CRP 299;;73;2;0
CRP;30003578;2014;1;ADE 101;;52;0;0
