Campus,Identificador,Codigo_Curso,Curso,Ano_Admissao,Sem_Admissao,Codigo_Forma_Ingresso,Forma_Ingresso,Ano_Conclusao,Sem_Conclusao,Codigo_Situacao_Aluno,Situacao_Aluno,Sexo,Idade,CRA,ENEM,Modalidade,PCD,10) Você se considera:,23) A renda bruta mensal (sem descontos) de seu grupo familiar:,Escola,Reingressante,Bolsista - Moradia,Bolsista - Alimentação,Iniciação Científica,Extensão
CRP,30003576,101,Administração - Integral,2014,1,V,Vestibular                                        ,2017,0,A,Estudante em abandono de curso                    ,F,25,"60,9","48,93",9,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30003577,101,Administração - Integral,2014,1,V,Vestibular                                        ,2016,1,M,Mudança de Curso                                  ,F,25,"47,7","43,148",9,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30003577,101,Administração - Integral,2014,1,V,Vestibular                                        ,2016,1,M,Mudança de Curso                                  ,F,25,"47,7","43,148",9,N,a. Branco(a).,c. Entre 3 e 5 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30003578,101,Administração - Integral,2014,1,V,Vestibular                                        ,2019,1,C,Conclusão                                         ,F,25,"66,7","47,536",9,N,a. Branco(a).,d. Entre 5 e 7 Salários Mínimos.,Privada,N,N,N,N,N
CRP,30003580,101,Administração - Integral,2014,1,V,Vestibular                                        ,2015,1,A,Estudante em abandono de curso                    ,F,25,"45,3","43,076",9,N,a. Branco(a).,g. Entre 20 e 30 Salários Mínimos.,Privada,N,N,N,N,N
CRP,30003581,101,Administração - Integral,2014,1,V,Vestibular                                        ,2014,2,A,Estudante em abandono de curso                    ,F,25,"37,3","41,426",9,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30003584,101,Administração - Integral,2014,1,V,Vestibular                                        ,2017,2,C,Conclusão                                         ,F,25,74,"39,844",9,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30003585,101,Administração - Integral,2014,1,V,Vestibular                                        ,2014,2,A,Estudante em abandono de curso                    ,F,25,"39,2","35,512",9,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30003586,101,Administração - Integral,2014,1,L,SISU - Sistema de Seleção Unificada               ,2017,2,C,Conclusão                                         ,F,25,"84,1","665,28",9,N,c. Pardo(a).,c. Entre 3 e 5 Salários Mínimos.,Privada,N,N,N,N,N
CRP,30003589,101,Administração - Integral,2014,1,L,SISU - Sistema de Seleção Unificada               ,2019,1,C,Conclusão                                         ,F,25,"65,5","532,5",9,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Privada,N,N,N,N,N
CRP,30003590,101,Administração - Integral,2014,1,L,SISU - Sistema de Seleção Unificada               ,2017,2,C,Conclusão                                         ,F,26,85,"606,12",1,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30003592,101,Administração - Integral,2014,1,L,SISU - Sistema de Seleção Unificada               ,2018,2,C,Conclusão                                         ,F,27,"74,2","620,12",5,N,b. Preto(a).,c. Entre 3 e 5 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30003593,101,Administração - Integral,2014,1,L,SISU - Sistema de Seleção Unificada               ,2015,2,T,Transferência                                     ,F,27,"78,9","651,22",9,N,c. Pardo(a).,c. Entre 3 e 5 Salários Mínimos.,Privada,N,N,N,N,N
CRP,30003594,101,Administração - Integral,2014,1,Y,Processo Seletivo Alternativo - SiSU              ,2014,2,A,Estudante em abandono de curso                    ,F,30,72,"518,82",9,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30003595,101,Administração - Integral,2014,1,L,SISU - Sistema de Seleção Unificada               ,2016,1,A,Estudante em abandono de curso                    ,F,26,"52,4","651,86",9,N,a. Branco(a).,g. Entre 20 e 30 Salários Mínimos.,Privada,N,N,N,N,N
CRP,30003598,101,Administração - Integral,2014,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,25,"58,7","587,48",1,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30003600,101,Administração - Integral,2014,1,L,SISU - Sistema de Seleção Unificada               ,2015,2,T,Transferência                                     ,F,29,"62,5","642,78",9,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Privada,N,N,N,N,N
CRP,30003603,101,Administração - Integral,2014,1,L,SISU - Sistema de Seleção Unificada               ,2015,2,A,Estudante em abandono de curso                    ,F,29,"75,3","644,84",9,N,a. Branco(a).,g. Entre 20 e 30 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30003610,101,Administração - Integral,2014,1,L,SISU - Sistema de Seleção Unificada               ,2015,1,A,Estudante em abandono de curso                    ,F,25,"51,6","549,48",9,N,c. Pardo(a).,a. Até 1 Salário Mínimo,Pública,N,N,N,N,N
CRP,30003614,101,Administração - Integral,2014,1,L,SISU - Sistema de Seleção Unificada               ,2015,2,M,Mudança de Curso                                  ,F,29,"40,1","547,7",3,N,c. Pardo(a).,a. Até 1 Salário Mínimo,Pública,N,N,N,N,N
CRP,30003615,101,Administração - Integral,2014,1,L,SISU - Sistema de Seleção Unificada               ,2018,1,C,Conclusão                                         ,F,25,"71,9","536,02",9,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
