,Campus,Identificador,Ano,Semestre,Cd_Disciplina,Codigo_Conceito,Nota,Faltas_Teorica,Faltas_Pratica
0,CRP,30005741,2016,1,CRP 199 , ,13.0,6.0,0.0
1,CRP,30005741,2016,1,CRP 297 , ,85.0,4.0,0.0
2,CRP,30005741,2016,1,SIN 110 , ,9.0,2.0,2.0
3,CRP,30005741,2016,1,SIN 130 , ,25.0,0.0,0.0
4,CRP,30005741,2016,2,SIN 100 , ,60.0,10.0,0.0
5,CRP,30005741,2016,2,SIN 101 , ,61.0,2.0,0.0
6,CRP,30005741,2016,2,SIN 110 ,L,6.0,0.0,8.0
7,CRP,30005741,2017,1,AFA 001 ,K,,,
8,CRP,30005741,2017,2,AFA 001 ,K,,,
9,CRP,30005742,2016,1,CRP 199 , ,72.0,2.0,0.0
10,CRP,30005742,2016,1,CRP 297 , ,87.0,2.0,0.0
11,CRP,30005742,2016,1,SIN 110 , ,92.0,0.0,0.0
12,CRP,30005742,2016,1,SIN 130 , ,78.0,0.0,0.0
13,CRP,30005742,2016,2,AFA 008 ,Z,,,
14,CRP,30005742,2017,1,CRP 291 , ,65.0,2.0,0.0
15,CRP,30005742,2017,1,SIN 132 , ,41.0,0.0,0.0
16,CRP,30005742,2017,1,SIN 141 , ,8.0,10.0,0.0
17,CRP,30005742,2017,1,SIN 211 , ,71.0,4.0,4.0
18,CRP,30005742,2017,1,SIN 222 , ,79.0,2.0,0.0
19,CRP,30005742,2017,1,SIN 251 , ,60.0,4.0,0.0
20,CRP,30005742,2017,2,ADE 104 , ,60.0,14.0,0.0
21,CRP,30005742,2017,2,CRP 192 ,L,17.0,16.0,0.0
22,CRP,30005742,2017,2,SIN 100 , ,67.0,10.0,0.0
23,CRP,30005742,2017,2,SIN 101 , ,78.0,4.0,0.0
24,CRP,30005742,2017,2,SIN 220 , ,58.0,8.0,0.0
25,CRP,30005742,2017,2,SIN 221 , ,64.0,14.0,0.0
26,CRP,30005742,2017,2,SIN 252 ,L,8.0,30.0,0.0
27,CRP,30005742,2018,1,ADE 190 , ,69.0,0.0,0.0
28,CRP,30005742,2018,1,CRP 192 , ,30.0,0.0,0.0
29,CRP,30005742,2018,1,SIN 132 , ,60.0,0.0,0.0
30,CRP,30005742,2018,1,SIN 141 , ,71.0,10.0,0.0
31,CRP,30005742,2018,1,SIN 321 , ,59.0,6.0,0.0
32,CRP,30005742,2018,1,SIN 422 , ,82.0,0.0,0.0
33,CRP,30005743,2016,1,CRP 199 , ,26.0,4.0,0.0
34,CRP,30005743,2016,1,CRP 297 , ,97.0,4.0,0.0
35,CRP,30005743,2016,1,SIN 110 , ,10.0,2.0,0.0
36,CRP,30005743,2016,1,SIN 130 , ,68.0,0.0,0.0
37,CRP,30005743,2016,2,ADE 104 , ,72.0,8.0,0.0
38,CRP,30005743,2016,2,SIN 100 , ,60.0,2.0,0.0
39,CRP,30005743,2016,2,SIN 101 , ,80.0,4.0,0.0
40,CRP,30005743,2016,2,SIN 110 , ,16.0,10.0,4.0
41,CRP,30005743,2016,2,SIN 220 , ,48.0,10.0,0.0
42,CRP,30005743,2017,1,ADE 190 , ,71.0,0.0,0.0
43,CRP,30005743,2017,1,CRP 291 , ,62.0,2.0,0.0
44,CRP,30005743,2017,1,SIN 110 , ,37.0,10.0,6.0
45,CRP,30005743,2017,1,SIN 132 , ,10.0,0.0,0.0
46,CRP,30005743,2017,1,SIN 222 , ,77.0,8.0,0.0
47,CRP,30005743,2017,2,ADE 327 , ,65.0,12.0,0.0
48,CRP,30005743,2017,2,SIN 110 , ,19.0,14.0,6.0
49,CRP,30005743,2017,2,SIN 220 , ,58.0,10.0,0.0
50,CRP,30005743,2017,2,SIN 221 , ,77.0,14.0,0.0
51,CRP,30005744,2016,1,CRP 199 , ,26.0,4.0,0.0
52,CRP,30005744,2016,1,CRP 297 , ,92.0,2.0,0.0
53,CRP,30005744,2016,1,SIN 110 , ,23.0,0.0,2.0
54,CRP,30005744,2016,1,SIN 130 , ,60.0,0.0,0.0
55,CRP,30005744,2016,2,ADE 104 , ,73.0,2.0,0.0
56,CRP,30005744,2016,2,SIN 100 , ,72.0,0.0,0.0
57,CRP,30005744,2016,2,SIN 101 , ,82.0,0.0,0.0
58,CRP,30005744,2016,2,SIN 110 , ,60.0,0.0,0.0
59,CRP,30005744,2017,1,CRP 199 , ,60.0,0.0,0.0
60,CRP,30005744,2017,1,CRP 291 , ,90.0,0.0,0.0
61,CRP,30005744,2017,1,SIN 141 , ,65.0,0.0,0.0
62,CRP,30005744,2017,1,SIN 211 , ,55.0,0.0,0.0
63,CRP,30005744,2017,1,SIN 251 , ,33.0,0.0,0.0
64,CRP,30005744,2017,2,CRP 192 , ,48.0,0.0,0.0
65,CRP,30005744,2017,2,CRP 298 , ,13.0,4.0,0.0
66,CRP,30005744,2017,2,SIN 142 , ,64.0,0.0,0.0
67,CRP,30005744,2017,2,SIN 220 , ,72.0,2.0,0.0
68,CRP,30005744,2017,2,SIN 221 , ,69.0,0.0,0.0
69,CRP,30005744,2018,1,SIN 132 , ,67.0,0.0,0.0
70,CRP,30005744,2018,1,SIN 211 , ,65.0,2.0,0.0
71,CRP,30005744,2018,1,SIN 251 , ,53.0,2.0,0.0
72,CRP,30005744,2018,1,SIN 320 , ,76.0,0.0,0.0
73,CRP,30005744,2018,1,SIN 321 , ,65.0,0.0,0.0
74,CRP,30005744,2018,2,ADE 327 , ,83.0,0.0,0.0
75,CRP,30005744,2018,2,CRP 192 , ,74.0,0.0,0.0
76,CRP,30005744,2018,2,SIN 213 , ,74.0,0.0,0.0
77,CRP,30005744,2018,2,SIN 322 , ,71.0,0.0,0.0
78,CRP,30005744,2018,2,SIN 421 , ,79.0,2.0,0.0
79,CRP,30005744,2019,1,ADE 190 , ,84.0,0.0,0.0
80,CRP,30005744,2019,1,ADE 345 , ,77.0,2.0,0.0
81,CRP,30005744,2019,1,SIN 143 , ,75.0,1.0,1.0
82,CRP,30005744,2019,1,SIN 222 , ,73.0,6.0,0.0
83,CRP,30005744,2019,1,SIN 251 , ,78.0,0.0,0.0
84,CRP,30005744,2019,1,SIN 351 , ,69.0,1.0,0.0
85,CRP,30005744,2019,2,CIC 100 , ,93.0,0.0,0.0
86,CRP,30005744,2019,2,CRP 298 , ,53.0,0.0,0.0
87,CRP,30005744,2019,2,SIN 252 , ,77.0,0.0,0.0
88,CRP,30005744,2019,2,SIN 352 , ,64.0,0.0,0.0
89,CRP,30005744,2020,2,SIN 323 , ,74.0,2.0,0.0
90,CRP,30005744,2020,4,SIN 131 , ,60.0,0.0,0.0
91,CRP,30005744,2020,4,SIN 392 , ,95.0,0.0,0.0
92,CRP,30005745,2016,1,ADE 104 ,T,,,
93,CRP,30005745,2016,1,CRP 199 , ,96.0,0.0,0.0
94,CRP,30005745,2016,1,CRP 292 ,T,,,
95,CRP,30005745,2016,1,CRP 297 ,T,,,
96,CRP,30005745,2016,1,SIN 110 , ,96.0,6.0,4.0
97,CRP,30005745,2016,1,SIN 130 , ,81.0,0.0,0.0
98,CRP,30005745,2016,1,SIN 222 ,T,,,
99,CRP,30005745,2016,1,SIN 251 ,T,,,
100,CRP,30005745,2016,1,SIN 351 ,T,,,
101,CRP,30005745,2016,1,SIN 352 ,T,,,
102,CRP,30005745,2016,2,CRP 192 , ,77.0,8.0,0.0
103,CRP,30005745,2016,2,CRP 298 , ,29.0,8.0,0.0
104,CRP,30005745,2016,2,SIN 100 , ,75.0,2.0,0.0
105,CRP,30005745,2016,2,SIN 211 , ,88.0,2.0,2.0
106,CRP,30005745,2017,1,CIC 100 , ,95.0,6.0,0.0
107,CRP,30005745,2017,1,CRP 291 , ,100.0,0.0,0.0
108,CRP,30005745,2017,1,CRP 298 , ,70.0,8.0,0.0
109,CRP,30005745,2017,1,SIN 132 , ,89.0,0.0,0.0
110,CRP,30005745,2017,1,SIN 141 , ,96.0,0.0,0.0
111,CRP,30005745,2017,2,SIN 142 , ,92.0,0.0,0.0
112,CRP,30005745,2017,2,SIN 213 , ,88.0,0.0,0.0
