Campus;Identificador;Ano;Semestre;Cd_Disciplina;Codigo_Conceito;Nota;Faltas_Teorica;Faltas_Pratica
CRP;30005241;2016;1;ADE 101 ; ;66;0;0
CRP;30005241;2016;1;CIC 100 ; ;54;4;0
CRP;30005241;2016;1;CRP 181 ; ;80;0;0
CRP;30005241;2016;1;CRP 290 ; ;97;0;0
CRP;30005241;2016;1;CRP 296 ; ;79;0;0
CRP;30005241;2016;2;ADE 102 ; ;78;4;0
CRP;30005241;2016;2;CIC 100 ; ;98;0;0
CRP;30005241;2016;2;CRP 091 ;N;0;8;0
CRP;30005241;2016;2;CRP 191 ; ;18;4;0
CRP;30005241;2016;2;CRP 291 ; ;88;0;0
CRP;30005241;2016;2;CRP 295 ; ;70;0;0
CRP;30005241;2016;2;CRP 297 ; ;52;8;0
CRP;30005241;2017;0;ADE 315 ; ;74;0;0
CRP;30005241;2017;0;ADE 329 ; ;72;8;0
CRP;30005242;2016;1;ADE 101 ; ;81;4;0
CRP;30005242;2016;1;CIC 100 ; ;63;2;0
CRP;30005242;2016;1;CRP 181 ; ;72;10;0
CRP;30005242;2016;1;CRP 290 ; ;93;0;0
CRP;30005242;2016;1;CRP 296 ; ;78;1;0
CRP;30005242;2016;2;ADE 102 ; ;62;8;0
CRP;30005242;2016;2;CIC 343 ; ;50;10;0
CRP;30005242;2016;2;CRP 091 ;S;0;6;0
CRP;30005242;2016;2;CRP 191 ;L;9;18;0
CRP;30005242;2016;2;CRP 291 ;L;8;20;0
CRP;30005242;2016;2;CRP 295 ; ;35;6;0
CRP;30005242;2016;2;CRP 297 ; ;28;6;0
CRP;30005242;2017;1;AFA 001 ;K;;;
CRP;30005243;2016;1;ADE 101 ;L;0;48;0
CRP;30005243;2016;1;CIC 100 ;L;0;36;0
CRP;30005243;2016;1;CRP 181 ;L;0;24;0
CRP;30005243;2016;1;CRP 290 ; ;0;4;0
CRP;30005243;2016;1;CRP 296 ; ;0;10;0
CRP;30005244;2016;1;ADE 101 ; ;60;0;0
CRP;30005244;2016;1;CIC 100 ; ;30;2;0
CRP;30005244;2016;1;CRP 181 ; ;67;2;0
CRP;30005244;2016;1;CRP 290 ; ;92;2;0
CRP;30005244;2016;1;CRP 296 ; ;75;2;0
CRP;30005244;2016;2;ADE 102 ; ;70;4;0
CRP;30005244;2016;2;CIC 100 ; ;69;4;0
CRP;30005244;2016;2;CRP 091 ;S;0;2;0
CRP;30005244;2016;2;CRP 191 ; ;38;10;0
CRP;30005244;2016;2;CRP 295 ; ;60;6;0
CRP;30005244;2016;2;CRP 297 ; ;36;6;0
CRP;30005245;2016;1;ADE 101 ; ;68;4;0
CRP;30005245;2016;1;CIC 100 ; ;64;0;0
CRP;30005245;2016;1;CRP 181 ; ;75;2;0
CRP;30005245;2016;1;CRP 290 ; ;88;8;0
CRP;30005245;2016;1;CRP 296 ; ;77;4;0
CRP;30005245;2016;2;ADE 102 ; ;64;6;0
CRP;30005245;2016;2;CIC 343 ; ;78;4;0
CRP;30005245;2016;2;CRP 091 ;S;0;2;0
CRP;30005245;2016;2;CRP 191 ; ;80;4;0
CRP;30005245;2016;2;CRP 295 ; ;73;2;0
CRP;30005245;2016;2;CRP 297 ; ;69;2;0
CRP;30005246;2016;1;ADE 101 ; ;89;0;0
CRP;30005246;2016;1;CIC 100 ; ;83;0;0
CRP;30005246;2016;1;CRP 181 ; ;76;2;0
CRP;30005246;2016;1;CRP 290 ; ;94;2;0
CRP;30005246;2016;1;CRP 296 ; ;80;0;0
CRP;30005246;2016;2;ADE 102 ; ;84;2;0
CRP;30005246;2016;2;CIC 343 ; ;75;2;0
CRP;30005246;2016;2;CRP 091 ;S;0;2;0
CRP;30005246;2016;2;CRP 191 ; ;81;4;0
CRP;30005246;2016;2;CRP 295 ; ;75;0;0
CRP;30005246;2016;2;CRP 297 ; ;64;2;0
CRP;30005246;2016;2;CRP 396 ; ;76;2;0
CRP;30005246;2017;0;ADE 345 ; ;93;0;0
CRP;30005246;2017;0;ADE 402 ; ;97;0;0
CRP;30005246;2017;1;ADE 150 ; ;76;0;0
CRP;30005246;2017;1;ADE 194 ; ;84;0;0
CRP;30005246;2017;1;ADE 310 ; ;61;0;0
CRP;30005246;2017;1;ADE 351 ; ;61;0;0
CRP;30005246;2017;1;ADE 400 ; ;93;0;0
CRP;30005246;2017;1;CRP 192 ; ;61;4;0
CRP;30005246;2017;2;ADE 192 ; ;91;0;0
CRP;30005246;2017;2;ADE 195 ; ;81;6;0
CRP;30005246;2017;2;ADE 302 ; ;93;0;0
CRP;30005246;2017;2;ADE 311 ; ;77;0;0
CRP;30005246;2017;2;CRP 193 ; ;68;0;0
CRP;30005246;2018;0;ADE 140 ; ;95;0;0
CRP;30005246;2018;1;ADE 300 ; ;71;0;0
CRP;30005246;2018;1;ADE 320 ; ;73;0;0
CRP;30005246;2018;1;ADE 322 ; ;76;2;0
CRP;30005246;2018;1;ADE 324 ; ;78;2;0
CRP;30005246;2018;1;ADE 326 ; ;87;6;0
CRP;30005246;2018;2;ADE 301 ; ;47;0;0
CRP;30005246;2018;2;ADE 321 ; ;90;0;0
CRP;30005246;2018;2;ADE 323 ; ;73;0;0
CRP;30005246;2018;2;ADE 325 ; ;73;0;0
CRP;30005246;2018;2;CRP 391 ; ;63;2;0
CRP;30005246;2019;0;ADE 402 ; ;76;0;0
CRP;30005246;2019;1;ADE 316 ; ;70;0;0
CRP;30005246;2019;1;ADE 328 ; ;88;2;0
