,Identificador
214,30004155
215,30004170
216,30004183
226,30004216
228,30004221
229,30004223
232,30004232
243,30004266
244,30004267
250,30004278
338,30004605
339,30004617
340,30004632
341,30004640
342,30004654
343,30004658
487,30005003
493,30005020
565,30005160
774,30005741
775,30005747
776,30005760
777,30005766
778,30005775
791,30005894
800,30005921
803,30005927
937,30006348
938,30006360
939,30006368
940,30006373
941,30006378
942,30006382
943,30006387
1081,30006689
1391,30007418
1392,30007444
1393,30007455
1397,30007473
1465,30007655
1482,30007714
1573,30008012
1574,30008023
1575,30008026
1576,30008027
1577,30008039
1578,30008046
1738,30008412
1744,30008437
1745,30008438
1779,30008519
1879,30008828
1880,30008840
1881,30008846
2035,30009270
2128,30009577
2129,30009580
2130,30009587
2131,30009605
2132,30009615
2133,30009617
2286,30009957
2296,30009981
2517,30004138
2518,30004139
2519,30004140
2520,30004144
2521,30004145
2522,30004148
2523,30004148
2524,30004148
2525,30004148
2526,30004149
2527,30004150
2528,30004151
2529,30004156
2530,30004158
2531,30004159
2532,30004160
2533,30004162
2534,30004163
2535,30004164
2536,30004165
2537,30004166
2538,30004167
2539,30004168
2540,30004169
2541,30004171
2542,30004172
2543,30004173
2544,30004176
2545,30004180
2546,30004186
2547,30004187
2548,30004190
2558,30004210
2559,30004213
2564,30004222
2571,30004236
2572,30004237
2583,30004249
2584,30004250
2586,30004254
2587,30004255
2600,30004280
2604,30004289
2605,30004290
2617,30004319
2618,30004320
2622,30004327
2627,30004357
2632,30004366
2713,30004604
2714,30004606
2715,30004609
2716,30004610
2717,30004611
2718,30004613
2719,30004614
2720,30004615
2721,30004616
2722,30004618
2723,30004619
2724,30004620
2725,30004622
2726,30004624
2727,30004626
2728,30004627
2729,30004629
2730,30004631
2731,30004634
2732,30004635
2733,30004636
2734,30004637
2735,30004638
2736,30004639
2737,30004641
2738,30004642
2739,30004643
2740,30004646
2741,30004649
2742,30004650
2743,30004651
2744,30004652
2745,30004653
2746,30004655
2747,30004657
2845,30005010
2851,30005025
2857,30005034
2865,30005047
2892,30005096
2895,30005101
2903,30005111
2914,30005145
2920,30005163
2926,30005187
2928,30005192
3168,30005742
3169,30005743
3170,30005744
3171,30005745
3172,30005746
3173,30005748
3174,30005749
3175,30005750
3176,30005751
3177,30005752
3178,30005753
3179,30005754
3180,30005756
3181,30005759
3182,30005761
3183,30005762
3184,30005763
3185,30005764
3186,30005765
3187,30005767
3188,30005768
3189,30005769
3190,30005770
3191,30005771
3192,30005772
3193,30005773
3194,30005774
3195,30005778
3196,30005779
3197,30005780
3198,30005781
3199,30005783
3200,30005785
3201,30005791
3202,30005792
3204,30005794
3215,30005881
3218,30005884
3219,30005885
3224,30005891
3225,30005892
3227,30005895
3228,30005896
3229,30005896
3230,30005896
3231,30005896
3232,30005897
3242,30005914
3244,30005916
3249,30005924
3255,30005933
3266,30005952
3299,30006022
3304,30006047
3305,30006052
3307,30006105
3426,30006346
3427,30006347
3428,30006349
